exec_id,submission_id,started_at,finished_at,status,exit_code,stdout,stderr,runtime_ms
0da61c4a-ef39-4171-a532-f2c6efab2d4b,cbca2439-5fa7-4a69-b4d5-57515f2ca8df,2026-01-28T04:53:34Z,2026-01-28T04:53:34.487000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Passed 5/5 test cases.",,487
d1c23404-f5af-4f69-a4d1-f2c323c68f1b,9d1f65ce-3975-41de-ba09-5b4220598737,2026-01-31T16:13:18Z,2026-01-31T16:13:18.709000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Passed 5/5 test cases.",,709
3a7d8a30-4448-48a9-9c7b-1b71648796d4,40e9d319-b3eb-4cfd-ac10-fdfed8fc6cd2,2026-02-19T23:40:40Z,2026-02-19T23:40:41.650000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Test 6: PASS
Passed 6/6 test cases.",,1650
129d1193-22bb-4536-ab1d-6a98fee9cddb,25cdec6d-db06-49a4-9b54-eeb00d4c831a,2026-02-19T23:27:23Z,2026-02-19T23:27:23.232000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Test 6: PASS
Passed 6/6 test cases.",,232
e3cc00f8-e264-4107-9e24-37a43cab6760,4824baf4-8c28-40a9-af4c-f6204e14235c,2026-03-08T11:31:19Z,2026-03-08T11:31:19.295000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Test 6: PASS
Test 7: PASS
Passed 7/7 test cases.",,295
585ee399-b1bd-4775-a1d9-1323eaeb0e9b,d1784036-60ed-46c7-ac5e-c254e0a5b160,2026-03-08T12:58:28Z,2026-03-08T12:58:28.376000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Test 6: PASS
Test 7: PASS
Passed 7/7 test cases.",,376
bd7a872b-b824-4605-b437-6614cb65aeef,cc3307c8-b173-48c6-8422-792ac91a7f7a,2026-03-26T17:48:12Z,2026-03-26T17:48:12.148000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Test 6: PASS
Test 7: PASS
Test 8: PASS
Passed 8/8 test cases.",,148
f4d2aedb-919f-4d6e-843c-09b06e03e24c,66a69508-156a-4da7-b127-811981543b21,2026-04-10T07:35:32Z,2026-04-10T07:35:32.612000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Test 6: PASS
Test 7: PASS
Test 8: PASS
Passed 8/8 test cases.",,612
c8d3b7a0-36a4-4d18-9423-43ecc36dfe9f,91e7b295-685f-45f0-b4a6-7d23fa513c90,2026-01-29T17:13:16Z,2026-01-29T17:13:17.812000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Passed 5/5 test cases.",,1812
2cd6a5a4-6456-41bd-a9f6-04dfcf42efa7,29838992-7ce8-455e-9542-795e32d0877b,2026-02-16T09:25:56Z,2026-02-16T09:25:56.496000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Test 6: PASS
Passed 6/6 test cases.",,496
f206ac57-e4a2-47d9-ad23-142a859ac7ba,76797019-13d6-4b87-a7d8-1460fcc1e05d,2026-03-06T09:54:42Z,2026-03-06T09:54:43.292000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Test 6: PASS
Test 7: PASS
Passed 7/7 test cases.",,1292
afff6273-6255-4534-a5b4-4c248f026713,a15047c8-aa98-41e0-9a05-94fb6ae2f337,2026-03-25T04:24:55Z,2026-03-25T04:24:55.276000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Test 6: PASS
Test 7: FAIL
  Expected: 1024
  Got:      1023
Test 8: PASS
Passed 7/8 test cases.",,276
82633be3-16ec-495c-a205-73017d4067c1,bb66df52-8097-4959-9702-3d166f285663,2026-03-24T01:20:30Z,2026-03-24T01:20:31.067000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Test 6: PASS
Test 7: PASS
Test 8: PASS
Passed 8/8 test cases.",,1067
31dd4a4b-45cb-4b71-bbd9-dd1b938171ff,8e50c64a-1cf3-4f71-ab23-59e3fc8b6156,2026-04-10T01:33:57Z,2026-04-10T01:33:57.126000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Test 6: PASS
Test 7: PASS
Test 8: PASS
Passed 8/8 test cases.",,126
38eb3d79-5909-400c-ade8-8a1d56fefe73,7678dd3d-f10d-4b9a-985b-2ebeb680b320,2026-01-29T22:29:05Z,2026-01-29T22:29:05.506000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Passed 5/5 test cases.",,506
6525fb14-aff5-4e72-a4a0-050aed9e706c,c58b0004-5f02-410e-88af-9e203d10896f,2026-01-30T06:28:06Z,2026-01-30T06:28:06.955000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Passed 5/5 test cases.",,955
3425e105-7316-4f41-841a-eb6c3bca6db2,06a15da9-4b84-45e8-ad96-ef740ddea3ac,2026-02-16T11:20:52Z,2026-02-16T11:20:52.213000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Test 6: PASS
Passed 6/6 test cases.",,213
27875423-2ff8-4f6b-b8b9-0e38274b702a,19a5423b-ccc6-4b22-9cbb-13de97318417,2026-02-17T02:51:41Z,2026-02-17T02:51:41.504000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Test 6: PASS
Passed 6/6 test cases.",,504
4ccee051-b29c-48ac-a124-0887f38814af,5d9683c2-abd0-4a7b-a120-b56b30610c90,2026-03-07T01:11:18Z,2026-03-07T01:11:18.926000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Test 6: PASS
Test 7: PASS
Passed 7/7 test cases.",,926
cd8376b2-69fb-4e11-8725-c22af82735a1,21e6de6f-a4a7-4cde-975c-62aabd37137e,2026-03-05T16:04:55Z,2026-03-05T16:04:56.066000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Test 6: PASS
Test 7: PASS
Passed 7/7 test cases.",,1066
4a7462a1-f1bb-4e23-a754-f4af8c6e44f8,643e1309-6467-4402-b70f-0d97345cf1e0,2026-03-24T06:38:05Z,2026-03-24T06:38:05.175000Z,success,0,"Test 1: PASS
Test 2: PASS
Test 3: PASS
Test 4: PASS
Test 5: PASS
Test 6: PASS
Test 7: PASS
Test 8: PASS
Passed 8/8 test cases.",,175
